date, pm25, pm10, o3, no2, so2, co
2021/7/21, 20, 17, 27, 13, 1, 3
2021/7/22, 34, 27, 144, 18, 1, 4
2021/7/23, 60, 22, 86, 21, 1, 5
2021/7/24, 76, 17, 83, 12, 1, 4
2021/7/25, 56, 19, 61, 20, 1, 4
2021/7/26, 53, 28, 91, 18, 1, 5
2021/7/27, 73, 22, 66, 19, 1, 5
2021/7/28, 65, 14, 17, 22, 1, 5
2021/7/29, 44, 12, 23, 13, , 4
2021/7/30, 38, 13, 35, 12, 1, 4
2021/7/31, 38, 16, 52, 8, 1, 3
2021/8/1, 43, 16, 48, 13, 1, 4
2021/8/2, 49, 11, 25, 15, , 4
2021/8/3, 32, 15, 42, 14, 1, 4
2021/8/4, 41, 15, 31, 16, 1, 5
2021/8/5, 52, 18, 41, 14, 1, 5
2021/8/6, 58, 19, 33, 19, 1, 5
2021/8/7, 62, 17, 31, 14, 1, 5
2021/8/8, 52, 13, 19, 15, 1, 5
2021/8/9, 40, 16, 12, 17, 1, 5
2021/8/10, 41, 14, 19, 13, 1, 4
2021/8/11, 41, 12, 13, 14, 1, 4
2021/8/12, 31, 11, 20, 10, , 3
2021/8/13, 32, 9, 17, 12, 1, 4
2021/8/14, 28, 9, 16, 12, 1, 4
2021/8/15, 29, 10, 16, 14, 1, 4
2021/8/16, 27, 14, 31, 12, 1, 4
2021/8/17, 41, 11, 24, 16, 1, 4
2021/8/18, 37, 14, 20, 20, 1, 4
2021/8/19, 39, 14, 27, 12, 1, 3
2021/8/20, 40, 9, 32, 8, 1, 3
2021/8/21, 24, 8, 28, 6, 1, 3
2021/8/22, 21, 19, 17, 7, 2, 3
2021/8/23, 26, 9, 18, 10, 3, 3
2021/8/24, 29, 8, 14, 13, 7, 3
2021/8/25, 22, 6, 19, 9, 5, 3
2021/8/26, 17, 10, 8, 12, , 3
2021/8/27, 26, 13, 16, 14, 1, 4
2021/8/28, 31, 11, 23, 11, 1, 5
2021/8/29, 31, 13, 25, 13, 3, 5
2021/8/30, 45, 14, 15, 18, 2, 6
2021/8/31, 42, 8, 12, 10, 2, 5
